"#","kpi_layer","role","data_role","antifragility_property","theme","source_deliverable","section","original_term","standardised_variable_name","definition","unit","spatial_scale","temporal_scale","static_or_dynamic","time_series_possible","update_frequency","data_type","expected_data_source","availability","availability_notes","proxy_possible","proxy_variable","collection_method","priority","remarks"
"1","Layer 1","input_variable","input","Stressor Response","disruption","D2.1","2.1 Table 1","""Event Category — Transport-related: Any interruption or degradation of passenger/freight movement due to infrastructure, operations, or regulation.""","event_domain","Thematic classification of a disruption event across four mutually exclusive domains: Transport-related, Environment & Weather, Utilities & Connectivity, Public Space / Social Events","categorical label","city","irregular","dynamic","yes","per event","categorical","D2.1 Urban Event Catalogue; EM-DAT; Copernicus CEMS; social media NLP pipeline","available in D2.1 catalogue (n=76)","Cross-walk to EM-DAT and social media categories provided in D2.1 Table 3","no","—","Multi-source ingestion + D2.1 crosswalk taxonomy (Table 3); NLP classifier for social media","high","Four domains: Transport-related / Environment & Weather / Utilities & Connectivity / Public Space / Social Events"
"2","Layer 1","input_variable","input","Stressor Response","disruption","D2.1","2.1 Table 1","""Scale (applied per event instance): Daily Stressor / Mid-scale Disruption / Large-scale Crisis""","event_scale","Three-level ordinal severity-of-impact scale: Daily Stressor = high-frequency low-severity; Mid-scale = medium-frequency requiring adaptive responses; Large-scale Crisis = low-frequency exceeding standard capacity","ordinal level","city","irregular","dynamic","yes","per event","ordinal","D2.1 event catalogue; operator logs; expert classification","available in D2.1 catalogue","Applied per event instance; independent of domain","no","—","Classification at event registration per D2.1 two-axis taxonomy","high","Three levels: Daily / Mid-scale / Large-scale"
"3","Layer 1","input_variable","input","Stressor Response","disruption","D2.1","2.1 Table 2","""Numeric level / Common label: 5 Critical/Immediate … 1 Very Low/Informational""","event_severity_level","Five-point ordinal severity scheme applied uniformly across EM-DAT, social media, and survey data streams; Level 5 = Critical/Immediate, Level 1 = Very Low/Informational","ordinal 1–5","city","irregular","dynamic","yes","per event","ordinal","Survey (D2.1 Annex 1); social media urgency classifier; EM-DAT","available","Social media label kept as alias per D2.1 instructions","yes","social_media_urgency_level","Structured questionnaire; automated NLP urgency scoring; EM-DAT classification","high","Must cite numeric code plus common label on first mention"
"4","Layer 1","KPI","input","Stressor Response","disruption","D2.1 · D2.6 (DEL-R11: ""Real Traffic Data"" requires road segment-level disruption monitoring)","3.3.1.1.4 Table 6","""Road works / street closures — Raw Affected (%): 85.0""","disruption_type_roadworks_prevalence","Weighted percentage of survey respondents experiencing road works / street closures over a 6-month reference period","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey (D2.1, n=140, 15 countries)","available (D2.1 Table 6)","ESS≈36; ±8–15% margin of error","no","—","Structured questionnaire (D2.1 Annex 1); post-stratification to Eurostat","high","Most frequently reported disruption type (85.0% raw, 267.3 weighted occurrences)"
"5","Layer 1","KPI","input","Stressor Response","disruption","D2.1","3.3.1.1.4 Table 6","""Public transport delays or cancellations — Raw Affected (%): 62.9""","disruption_type_pt_delays_prevalence","Weighted percentage of survey respondents experiencing public transport delays or cancellations","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 6)","ESS≈36","no","—","Structured questionnaire; post-stratification","high","214.5 weighted occurrences; second most frequent disruption"
"6","Layer 1","KPI","input","Stressor Response","environment","D2.1","3.3.1.1.4 Table 6","""Extreme-weather events (floods, heatwaves, snow) — Raw Affected (%): 61.3""","disruption_type_extreme_weather_prevalence","Weighted percentage of survey respondents experiencing extreme weather events (floods, heatwaves, snow/ice)","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 6)","ESS≈36","no","—","Structured questionnaire; post-stratification","high","Third most frequent; 194.6 weighted occurrences"
"7","Layer 1","KPI","input","Stressor Response","disruption","D2.1","3.3.1.1.4 Table 6","""Heavy road-traffic congestion — Raw Affected (%): 59.8""","disruption_type_congestion_prevalence","Weighted percentage of survey respondents experiencing heavy road-traffic congestion","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 6)","ESS≈36","no","—","Structured questionnaire; post-stratification","high","199.5 weighted occurrences"
"8","Layer 1","KPI","input","Stressor Response","digital","D2.1","3.3.1.1.4 Table 6","""Digital connectivity outage (mobile / internet) — Raw Affected (%): 57.1""","disruption_type_digital_outage_prevalence","Weighted percentage of survey respondents experiencing digital connectivity outages","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 6)","ESS≈36","no","—","Structured questionnaire; post-stratification","medium","177.1 weighted occurrences; Utilities domain"
"9","Layer 1","KPI","input","Stressor Response","supply","D2.1","3.3.1.1.4 Table 6","""Parking shortages — Raw Affected (%): 55.6""","disruption_type_parking_shortage_prevalence","Weighted percentage of survey respondents experiencing parking shortages","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 6)","ESS≈36","no","—","Structured questionnaire; post-stratification","low","175.4 weighted occurrences"
"10","Layer 1","KPI","input","Stressor Response","infrastructure","D2.1","3.3.1.1.4 Table 6","""Traffic signal outages or malfunctions — Raw Affected (%): 45.1""","disruption_type_signal_malfunction_prevalence","Weighted percentage of survey respondents experiencing traffic signal outages or malfunctions","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 6)","ESS≈36","no","—","Structured questionnaire; post-stratification","medium","156.2 weighted occurrences"
